Superfamily,Group,Family,Subfamily,Protein,Members,UniProt,IDG_Dark,Aligned_Seq,Ortholog_Seq,weblogo_aln,barplot_ptm,weblogo_mut,barplot_mut,aligned_aln,aligned_full,aligned_kd,aligned_mut,aligned_ptm,ortholog_full,ortholog_kd
PK,CAMK,CAMKL,PASK,,PKA;PASK,,,678,678,PK_CAMK_CAMKL_PASK.png,,PK_CAMK_CAMKL_PASK.png,PK_CAMK_CAMKL_PASK.png,PK_CAMK_CAMKL_PASK.aln,PK_CAMK_CAMKL_PASK.fasta,PK_CAMK_CAMKL_PASK.fasta,PK_CAMK_CAMKL_PASK.txt,,PK_CAMK_CAMKL_PASK.fasta,PK_CAMK_CAMKL_PASK.fasta
PK,CAMK,CAMKL,PASK,PASK,PKA;PASK,Q96RG2,0,678,678,PK_CAMK_CAMKL_PASK_PASK.png,,PK_CAMK_CAMKL_PASK_PASK.png,PK_CAMK_CAMKL_PASK_PASK.png,PK_CAMK_CAMKL_PASK_PASK.aln,PK_CAMK_CAMKL_PASK_PASK.fasta,PK_CAMK_CAMKL_PASK_PASK.fasta,PK_CAMK_CAMKL_PASK_PASK.txt,,PK_CAMK_CAMKL_PASK_PASK.fasta,PK_CAMK_CAMKL_PASK_PASK.fasta
PK,CAMK,CAMKL,QIK,,PKA;SIK1;SIK1B;SIK2;SIK3,,,513,513,PK_CAMK_CAMKL_QIK.png,PK_CAMK_CAMKL_QIK.png,PK_CAMK_CAMKL_QIK.png,PK_CAMK_CAMKL_QIK.png,PK_CAMK_CAMKL_QIK.aln,PK_CAMK_CAMKL_QIK.fasta,PK_CAMK_CAMKL_QIK.fasta,PK_CAMK_CAMKL_QIK.txt,PK_CAMK_CAMKL_QIK.txt,PK_CAMK_CAMKL_QIK.fasta,PK_CAMK_CAMKL_QIK.fasta
PK,CAMK,CAMKL,QIK,SIK1 (SIK),PKA;SIK1,P57059,0,127,127,PK_CAMK_CAMKL_QIK_SIK1.png,PK_CAMK_CAMKL_QIK_SIK1.png,,,PK_CAMK_CAMKL_QIK_SIK1.aln,PK_CAMK_CAMKL_QIK_SIK1.fasta,PK_CAMK_CAMKL_QIK_SIK1.fasta,,PK_CAMK_CAMKL_QIK_SIK1.txt,PK_CAMK_CAMKL_QIK_SIK1.fasta,PK_CAMK_CAMKL_QIK_SIK1.fasta
PK,CAMK,CAMKL,QIK,SIK1B,PKA;SIK1B,A0A0B4J2F2,0,1,1,PK_CAMK_CAMKL_QIK_SIK1B.png,PK_CAMK_CAMKL_QIK_SIK1B.png,,,PK_CAMK_CAMKL_QIK_SIK1B.aln,PK_CAMK_CAMKL_QIK_SIK1B.fasta,PK_CAMK_CAMKL_QIK_SIK1B.fasta,,PK_CAMK_CAMKL_QIK_SIK1B.txt,PK_CAMK_CAMKL_QIK_SIK1B.fasta,PK_CAMK_CAMKL_QIK_SIK1B.fasta
PK,CAMK,CAMKL,QIK,SIK2 (QIK),PKA;SIK2,Q9H0K1,0,207,207,PK_CAMK_CAMKL_QIK_SIK2.png,PK_CAMK_CAMKL_QIK_SIK2.png,PK_CAMK_CAMKL_QIK_SIK2.png,PK_CAMK_CAMKL_QIK_SIK2.png,PK_CAMK_CAMKL_QIK_SIK2.aln,PK_CAMK_CAMKL_QIK_SIK2.fasta,PK_CAMK_CAMKL_QIK_SIK2.fasta,PK_CAMK_CAMKL_QIK_SIK2.txt,PK_CAMK_CAMKL_QIK_SIK2.txt,PK_CAMK_CAMKL_QIK_SIK2.fasta,PK_CAMK_CAMKL_QIK_SIK2.fasta
PK,CAMK,CAMKL,QIK,SIK3 (QSK),PKA;SIK3,Q9Y2K2,0,178,178,PK_CAMK_CAMKL_QIK_SIK3.png,PK_CAMK_CAMKL_QIK_SIK3.png,PK_CAMK_CAMKL_QIK_SIK3.png,PK_CAMK_CAMKL_QIK_SIK3.png,PK_CAMK_CAMKL_QIK_SIK3.aln,PK_CAMK_CAMKL_QIK_SIK3.fasta,PK_CAMK_CAMKL_QIK_SIK3.fasta,PK_CAMK_CAMKL_QIK_SIK3.txt,PK_CAMK_CAMKL_QIK_SIK3.txt,PK_CAMK_CAMKL_QIK_SIK3.fasta,PK_CAMK_CAMKL_QIK_SIK3.fasta
PK,CAMK,CAMKL,SNRK,,PKA;SNRK,,,346,346,PK_CAMK_CAMKL_SNRK.png,PK_CAMK_CAMKL_SNRK.png,PK_CAMK_CAMKL_SNRK.png,PK_CAMK_CAMKL_SNRK.png,PK_CAMK_CAMKL_SNRK.aln,PK_CAMK_CAMKL_SNRK.fasta,PK_CAMK_CAMKL_SNRK.fasta,PK_CAMK_CAMKL_SNRK.txt,PK_CAMK_CAMKL_SNRK.txt,PK_CAMK_CAMKL_SNRK.fasta,PK_CAMK_CAMKL_SNRK.fasta
PK,CAMK,CAMKL,SNRK,SNRK,PKA;SNRK,Q9NRH2,0,346,346,PK_CAMK_CAMKL_SNRK_SNRK.png,PK_CAMK_CAMKL_SNRK_SNRK.png,PK_CAMK_CAMKL_SNRK_SNRK.png,PK_CAMK_CAMKL_SNRK_SNRK.png,PK_CAMK_CAMKL_SNRK_SNRK.aln,PK_CAMK_CAMKL_SNRK_SNRK.fasta,PK_CAMK_CAMKL_SNRK_SNRK.fasta,PK_CAMK_CAMKL_SNRK_SNRK.txt,PK_CAMK_CAMKL_SNRK_SNRK.txt,PK_CAMK_CAMKL_SNRK_SNRK.fasta,PK_CAMK_CAMKL_SNRK_SNRK.fasta
PK,CAMK,CASK,,,PKA;CASK,,,184,184,PK_CAMK_CASK.png,PK_CAMK_CASK.png,PK_CAMK_CASK.png,PK_CAMK_CASK.png,PK_CAMK_CASK.aln,PK_CAMK_CASK.fasta,PK_CAMK_CASK.fasta,PK_CAMK_CASK.txt,PK_CAMK_CASK.txt,PK_CAMK_CASK.fasta,PK_CAMK_CASK.fasta
PK,CAMK,CASK,,CASK,PKA;CASK,O14936,0,184,184,PK_CAMK_CASK__CASK.png,PK_CAMK_CASK__CASK.png,PK_CAMK_CASK__CASK.png,PK_CAMK_CASK__CASK.png,PK_CAMK_CASK__CASK.aln,PK_CAMK_CASK__CASK.fasta,PK_CAMK_CASK__CASK.fasta,PK_CAMK_CASK__CASK.txt,PK_CAMK_CASK__CASK.txt,PK_CAMK_CASK__CASK.fasta,PK_CAMK_CASK__CASK.fasta
PK,CAMK,DAPK,,,PKA;DAPK1;DAPK2;DAPK3;STK17A;STK17B,,,605,605,PK_CAMK_DAPK.png,PK_CAMK_DAPK.png,PK_CAMK_DAPK.png,PK_CAMK_DAPK.png,PK_CAMK_DAPK.aln,PK_CAMK_DAPK.fasta,PK_CAMK_DAPK.fasta,PK_CAMK_DAPK.txt,PK_CAMK_DAPK.txt,PK_CAMK_DAPK.fasta,PK_CAMK_DAPK.fasta
PK,CAMK,DAPK,DAPK,,PKA;DAPK1;DAPK2;DAPK3,,,309,309,PK_CAMK_DAPK_DAPK.png,PK_CAMK_DAPK_DAPK.png,PK_CAMK_DAPK_DAPK.png,PK_CAMK_DAPK_DAPK.png,PK_CAMK_DAPK_DAPK.aln,PK_CAMK_DAPK_DAPK.fasta,PK_CAMK_DAPK_DAPK.fasta,PK_CAMK_DAPK_DAPK.txt,PK_CAMK_DAPK_DAPK.txt,PK_CAMK_DAPK_DAPK.fasta,PK_CAMK_DAPK_DAPK.fasta
PK,CAMK,DAPK,DAPK,DAPK1,PKA;DAPK1,P53355,0,123,123,PK_CAMK_DAPK_DAPK_DAPK1.png,,PK_CAMK_DAPK_DAPK_DAPK1.png,PK_CAMK_DAPK_DAPK_DAPK1.png,PK_CAMK_DAPK_DAPK_DAPK1.aln,PK_CAMK_DAPK_DAPK_DAPK1.fasta,PK_CAMK_DAPK_DAPK_DAPK1.fasta,PK_CAMK_DAPK_DAPK_DAPK1.txt,,PK_CAMK_DAPK_DAPK_DAPK1.fasta,PK_CAMK_DAPK_DAPK_DAPK1.fasta
PK,CAMK,DAPK,DAPK,DAPK2,PKA;DAPK2,Q9UIK4,0,32,32,PK_CAMK_DAPK_DAPK_DAPK2.png,PK_CAMK_DAPK_DAPK_DAPK2.png,PK_CAMK_DAPK_DAPK_DAPK2.png,PK_CAMK_DAPK_DAPK_DAPK2.png,PK_CAMK_DAPK_DAPK_DAPK2.aln,PK_CAMK_DAPK_DAPK_DAPK2.fasta,PK_CAMK_DAPK_DAPK_DAPK2.fasta,PK_CAMK_DAPK_DAPK_DAPK2.txt,PK_CAMK_DAPK_DAPK_DAPK2.txt,PK_CAMK_DAPK_DAPK_DAPK2.fasta,PK_CAMK_DAPK_DAPK_DAPK2.fasta
PK,CAMK,DAPK,DAPK,DAPK3,PKA;DAPK3,O43293,0,154,154,PK_CAMK_DAPK_DAPK_DAPK3.png,PK_CAMK_DAPK_DAPK_DAPK3.png,PK_CAMK_DAPK_DAPK_DAPK3.png,PK_CAMK_DAPK_DAPK_DAPK3.png,PK_CAMK_DAPK_DAPK_DAPK3.aln,PK_CAMK_DAPK_DAPK_DAPK3.fasta,PK_CAMK_DAPK_DAPK_DAPK3.fasta,PK_CAMK_DAPK_DAPK_DAPK3.txt,PK_CAMK_DAPK_DAPK_DAPK3.txt,PK_CAMK_DAPK_DAPK_DAPK3.fasta,PK_CAMK_DAPK_DAPK_DAPK3.fasta
PK,CAMK,DAPK,DRAK,,PKA;STK17A;STK17B,,,296,296,PK_CAMK_DAPK_DRAK.png,PK_CAMK_DAPK_DRAK.png,PK_CAMK_DAPK_DRAK.png,PK_CAMK_DAPK_DRAK.png,PK_CAMK_DAPK_DRAK.aln,PK_CAMK_DAPK_DRAK.fasta,PK_CAMK_DAPK_DRAK.fasta,PK_CAMK_DAPK_DRAK.txt,PK_CAMK_DAPK_DRAK.txt,PK_CAMK_DAPK_DRAK.fasta,PK_CAMK_DAPK_DRAK.fasta
PK,CAMK,DAPK,DRAK,STK17A (DRAK1),PKA;STK17A,Q9UEE5,1,206,206,PK_CAMK_DAPK_DRAK_STK17A.png,PK_CAMK_DAPK_DRAK_STK17A.png,PK_CAMK_DAPK_DRAK_STK17A.png,PK_CAMK_DAPK_DRAK_STK17A.png,PK_CAMK_DAPK_DRAK_STK17A.aln,PK_CAMK_DAPK_DRAK_STK17A.fasta,PK_CAMK_DAPK_DRAK_STK17A.fasta,PK_CAMK_DAPK_DRAK_STK17A.txt,PK_CAMK_DAPK_DRAK_STK17A.txt,PK_CAMK_DAPK_DRAK_STK17A.fasta,PK_CAMK_DAPK_DRAK_STK17A.fasta
PK,CAMK,DAPK,DRAK,STK17B (DRAK2),PKA;STK17B,O94768,1,90,90,PK_CAMK_DAPK_DRAK_STK17B.png,PK_CAMK_DAPK_DRAK_STK17B.png,PK_CAMK_DAPK_DRAK_STK17B.png,PK_CAMK_DAPK_DRAK_STK17B.png,PK_CAMK_DAPK_DRAK_STK17B.aln,PK_CAMK_DAPK_DRAK_STK17B.fasta,PK_CAMK_DAPK_DRAK_STK17B.fasta,PK_CAMK_DAPK_DRAK_STK17B.txt,PK_CAMK_DAPK_DRAK_STK17B.txt,PK_CAMK_DAPK_DRAK_STK17B.fasta,PK_CAMK_DAPK_DRAK_STK17B.fasta
PK,CAMK,DCAMKL,,,PKA;DCLK1;DCLK2;DCLK3,,,329,329,PK_CAMK_DCAMKL.png,PK_CAMK_DCAMKL.png,PK_CAMK_DCAMKL.png,PK_CAMK_DCAMKL.png,PK_CAMK_DCAMKL.aln,PK_CAMK_DCAMKL.fasta,PK_CAMK_DCAMKL.fasta,PK_CAMK_DCAMKL.txt,PK_CAMK_DCAMKL.txt,PK_CAMK_DCAMKL.fasta,PK_CAMK_DCAMKL.fasta
PK,CAMK,DCAMKL,,DCLK1 (DCAMKL1),PKA;DCLK1,O15075,0,44,44,PK_CAMK_DCAMKL__DCLK1.png,PK_CAMK_DCAMKL__DCLK1.png,PK_CAMK_DCAMKL__DCLK1.png,PK_CAMK_DCAMKL__DCLK1.png,PK_CAMK_DCAMKL__DCLK1.aln,PK_CAMK_DCAMKL__DCLK1.fasta,PK_CAMK_DCAMKL__DCLK1.fasta,PK_CAMK_DCAMKL__DCLK1.txt,PK_CAMK_DCAMKL__DCLK1.txt,PK_CAMK_DCAMKL__DCLK1.fasta,PK_CAMK_DCAMKL__DCLK1.fasta
PK,CAMK,DCAMKL,,DCLK2 (DCAMKL2),PKA;DCLK2,Q8N568,0,179,179,PK_CAMK_DCAMKL__DCLK2.png,PK_CAMK_DCAMKL__DCLK2.png,PK_CAMK_DCAMKL__DCLK2.png,PK_CAMK_DCAMKL__DCLK2.png,PK_CAMK_DCAMKL__DCLK2.aln,PK_CAMK_DCAMKL__DCLK2.fasta,PK_CAMK_DCAMKL__DCLK2.fasta,PK_CAMK_DCAMKL__DCLK2.txt,PK_CAMK_DCAMKL__DCLK2.txt,PK_CAMK_DCAMKL__DCLK2.fasta,PK_CAMK_DCAMKL__DCLK2.fasta
PK,CAMK,DCAMKL,,DCLK3 (DCAMKL3),PKA;DCLK3,Q9C098,1,106,106,PK_CAMK_DCAMKL__DCLK3.png,PK_CAMK_DCAMKL__DCLK3.png,PK_CAMK_DCAMKL__DCLK3.png,PK_CAMK_DCAMKL__DCLK3.png,PK_CAMK_DCAMKL__DCLK3.aln,PK_CAMK_DCAMKL__DCLK3.fasta,PK_CAMK_DCAMKL__DCLK3.fasta,PK_CAMK_DCAMKL__DCLK3.txt,PK_CAMK_DCAMKL__DCLK3.txt,PK_CAMK_DCAMKL__DCLK3.fasta,PK_CAMK_DCAMKL__DCLK3.fasta
PK,CAMK,MAPKAPK,,,PKA;MAPKAPK2;MAPKAPK3;MAPKAPK5;MKNK1;MKNK2,,,831,831,PK_CAMK_MAPKAPK.png,PK_CAMK_MAPKAPK.png,PK_CAMK_MAPKAPK.png,PK_CAMK_MAPKAPK.png,PK_CAMK_MAPKAPK.aln,PK_CAMK_MAPKAPK.fasta,PK_CAMK_MAPKAPK.fasta,PK_CAMK_MAPKAPK.txt,PK_CAMK_MAPKAPK.txt,PK_CAMK_MAPKAPK.fasta,PK_CAMK_MAPKAPK.fasta
PK,CAMK,MAPKAPK,MK2,,PKA;MAPKAPK2;MAPKAPK3,,,376,376,PK_CAMK_MAPKAPK_MK2.png,PK_CAMK_MAPKAPK_MK2.png,PK_CAMK_MAPKAPK_MK2.png,PK_CAMK_MAPKAPK_MK2.png,PK_CAMK_MAPKAPK_MK2.aln,PK_CAMK_MAPKAPK_MK2.fasta,PK_CAMK_MAPKAPK_MK2.fasta,PK_CAMK_MAPKAPK_MK2.txt,PK_CAMK_MAPKAPK_MK2.txt,PK_CAMK_MAPKAPK_MK2.fasta,PK_CAMK_MAPKAPK_MK2.fasta
PK,CAMK,MAPKAPK,MK2,MAPKAPK2,PKA;MAPKAPK2,P49137,0,231,231,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.aln,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.txt,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.txt,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK2.fasta
PK,CAMK,MAPKAPK,MK2,MAPKAPK3,PKA;MAPKAPK3,Q16644,0,145,145,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.png,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.aln,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.txt,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.txt,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.fasta,PK_CAMK_MAPKAPK_MK2_MAPKAPK3.fasta
PK,CAMK,MAPKAPK,MK5,,PKA;MAPKAPK5,,,162,162,PK_CAMK_MAPKAPK_MK5.png,PK_CAMK_MAPKAPK_MK5.png,PK_CAMK_MAPKAPK_MK5.png,PK_CAMK_MAPKAPK_MK5.png,PK_CAMK_MAPKAPK_MK5.aln,PK_CAMK_MAPKAPK_MK5.fasta,PK_CAMK_MAPKAPK_MK5.fasta,PK_CAMK_MAPKAPK_MK5.txt,PK_CAMK_MAPKAPK_MK5.txt,PK_CAMK_MAPKAPK_MK5.fasta,PK_CAMK_MAPKAPK_MK5.fasta
PK,CAMK,MAPKAPK,MK5,MAPKAPK5,PKA;MAPKAPK5,Q8IW41,0,162,162,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.png,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.png,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.png,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.png,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.aln,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.fasta,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.fasta,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.txt,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.txt,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.fasta,PK_CAMK_MAPKAPK_MK5_MAPKAPK5.fasta
PK,CAMK,MAPKAPK,MNK,,PKA;MKNK1;MKNK2,,,293,293,PK_CAMK_MAPKAPK_MNK.png,PK_CAMK_MAPKAPK_MNK.png,PK_CAMK_MAPKAPK_MNK.png,PK_CAMK_MAPKAPK_MNK.png,PK_CAMK_MAPKAPK_MNK.aln,PK_CAMK_MAPKAPK_MNK.fasta,PK_CAMK_MAPKAPK_MNK.fasta,PK_CAMK_MAPKAPK_MNK.txt,PK_CAMK_MAPKAPK_MNK.txt,PK_CAMK_MAPKAPK_MNK.fasta,PK_CAMK_MAPKAPK_MNK.fasta
PK,CAMK,MAPKAPK,MNK,MKNK1 (MNK1),PKA;MKNK1,Q9BUB5,1,193,193,PK_CAMK_MAPKAPK_MNK_MKNK1.png,PK_CAMK_MAPKAPK_MNK_MKNK1.png,PK_CAMK_MAPKAPK_MNK_MKNK1.png,PK_CAMK_MAPKAPK_MNK_MKNK1.png,PK_CAMK_MAPKAPK_MNK_MKNK1.aln,PK_CAMK_MAPKAPK_MNK_MKNK1.fasta,PK_CAMK_MAPKAPK_MNK_MKNK1.fasta,PK_CAMK_MAPKAPK_MNK_MKNK1.txt,PK_CAMK_MAPKAPK_MNK_MKNK1.txt,PK_CAMK_MAPKAPK_MNK_MKNK1.fasta,PK_CAMK_MAPKAPK_MNK_MKNK1.fasta
PK,CAMK,MAPKAPK,MNK,MKNK2 (MNK2),PKA;MKNK2,Q9HBH9,1,100,100,PK_CAMK_MAPKAPK_MNK_MKNK2.png,PK_CAMK_MAPKAPK_MNK_MKNK2.png,PK_CAMK_MAPKAPK_MNK_MKNK2.png,PK_CAMK_MAPKAPK_MNK_MKNK2.png,PK_CAMK_MAPKAPK_MNK_MKNK2.aln,PK_CAMK_MAPKAPK_MNK_MKNK2.fasta,PK_CAMK_MAPKAPK_MNK_MKNK2.fasta,PK_CAMK_MAPKAPK_MNK_MKNK2.txt,PK_CAMK_MAPKAPK_MNK_MKNK2.txt,PK_CAMK_MAPKAPK_MNK_MKNK2.fasta,PK_CAMK_MAPKAPK_MNK_MKNK2.fasta
PK,CAMK,MLCK,,,PKA;MYLK;MYLK2;MYLK3;MYLK4;TTN,,,574,574,PK_CAMK_MLCK.png,PK_CAMK_MLCK.png,PK_CAMK_MLCK.png,PK_CAMK_MLCK.png,PK_CAMK_MLCK.aln,PK_CAMK_MLCK.fasta,PK_CAMK_MLCK.fasta,PK_CAMK_MLCK.txt,PK_CAMK_MLCK.txt,PK_CAMK_MLCK.fasta,PK_CAMK_MLCK.fasta
PK,CAMK,MLCK,,MYLK (smMLCK),PKA;MYLK,Q15746,0,201,201,PK_CAMK_MLCK__MYLK.png,PK_CAMK_MLCK__MYLK.png,PK_CAMK_MLCK__MYLK.png,PK_CAMK_MLCK__MYLK.png,PK_CAMK_MLCK__MYLK.aln,PK_CAMK_MLCK__MYLK.fasta,PK_CAMK_MLCK__MYLK.fasta,PK_CAMK_MLCK__MYLK.txt,PK_CAMK_MLCK__MYLK.txt,PK_CAMK_MLCK__MYLK.fasta,PK_CAMK_MLCK__MYLK.fasta
PK,CAMK,MLCK,,MYLK2 (skMLCK),PKA;MYLK2,Q9H1R3,0,81,81,PK_CAMK_MLCK__MYLK2.png,PK_CAMK_MLCK__MYLK2.png,PK_CAMK_MLCK__MYLK2.png,PK_CAMK_MLCK__MYLK2.png,PK_CAMK_MLCK__MYLK2.aln,PK_CAMK_MLCK__MYLK2.fasta,PK_CAMK_MLCK__MYLK2.fasta,PK_CAMK_MLCK__MYLK2.txt,PK_CAMK_MLCK__MYLK2.txt,PK_CAMK_MLCK__MYLK2.fasta,PK_CAMK_MLCK__MYLK2.fasta
PK,CAMK,MLCK,,MYLK3 (caMLCK),PKA;MYLK3,Q32MK0,0,92,92,PK_CAMK_MLCK__MYLK3.png,PK_CAMK_MLCK__MYLK3.png,PK_CAMK_MLCK__MYLK3.png,PK_CAMK_MLCK__MYLK3.png,PK_CAMK_MLCK__MYLK3.aln,PK_CAMK_MLCK__MYLK3.fasta,PK_CAMK_MLCK__MYLK3.fasta,PK_CAMK_MLCK__MYLK3.txt,PK_CAMK_MLCK__MYLK3.txt,PK_CAMK_MLCK__MYLK3.fasta,PK_CAMK_MLCK__MYLK3.fasta
PK,CAMK,MLCK,,MYLK4 (SgK085),PKA;MYLK4,Q86YV6,0,121,121,PK_CAMK_MLCK__MYLK4.png,,PK_CAMK_MLCK__MYLK4.png,PK_CAMK_MLCK__MYLK4.png,PK_CAMK_MLCK__MYLK4.aln,PK_CAMK_MLCK__MYLK4.fasta,PK_CAMK_MLCK__MYLK4.fasta,PK_CAMK_MLCK__MYLK4.txt,,PK_CAMK_MLCK__MYLK4.fasta,PK_CAMK_MLCK__MYLK4.fasta
PK,CAMK,MLCK,,TTN,PKA;TTN,Q8WZ42,0,79,79,PK_CAMK_MLCK__TTN.png,PK_CAMK_MLCK__TTN.png,PK_CAMK_MLCK__TTN.png,PK_CAMK_MLCK__TTN.png,PK_CAMK_MLCK__TTN.aln,PK_CAMK_MLCK__TTN.fasta,PK_CAMK_MLCK__TTN.fasta,PK_CAMK_MLCK__TTN.txt,PK_CAMK_MLCK__TTN.txt,PK_CAMK_MLCK__TTN.fasta,PK_CAMK_MLCK__TTN.fasta
PK,CAMK,PHK,,,PKA;PHKG1;PHKG2,,,309,309,PK_CAMK_PHK.png,PK_CAMK_PHK.png,PK_CAMK_PHK.png,PK_CAMK_PHK.png,PK_CAMK_PHK.aln,PK_CAMK_PHK.fasta,PK_CAMK_PHK.fasta,PK_CAMK_PHK.txt,PK_CAMK_PHK.txt,PK_CAMK_PHK.fasta,PK_CAMK_PHK.fasta
PK,CAMK,PHK,,PHKG1 (PhKγ1),PKA;PHKG1,Q16816,1,131,131,PK_CAMK_PHK__PHKG1.png,PK_CAMK_PHK__PHKG1.png,PK_CAMK_PHK__PHKG1.png,PK_CAMK_PHK__PHKG1.png,PK_CAMK_PHK__PHKG1.aln,PK_CAMK_PHK__PHKG1.fasta,PK_CAMK_PHK__PHKG1.fasta,PK_CAMK_PHK__PHKG1.txt,PK_CAMK_PHK__PHKG1.txt,PK_CAMK_PHK__PHKG1.fasta,PK_CAMK_PHK__PHKG1.fasta
PK,CAMK,PHK,,PHKG2 (PhKγ2),PKA;PHKG2,P15735,1,178,178,PK_CAMK_PHK__PHKG2.png,PK_CAMK_PHK__PHKG2.png,PK_CAMK_PHK__PHKG2.png,PK_CAMK_PHK__PHKG2.png,PK_CAMK_PHK__PHKG2.aln,PK_CAMK_PHK__PHKG2.fasta,PK_CAMK_PHK__PHKG2.fasta,PK_CAMK_PHK__PHKG2.txt,PK_CAMK_PHK__PHKG2.txt,PK_CAMK_PHK__PHKG2.fasta,PK_CAMK_PHK__PHKG2.fasta
PK,CAMK,PIM,,,PKA;PIM1;PIM2;PIM3,,,309,309,PK_CAMK_PIM.png,PK_CAMK_PIM.png,PK_CAMK_PIM.png,PK_CAMK_PIM.png,PK_CAMK_PIM.aln,PK_CAMK_PIM.fasta,PK_CAMK_PIM.fasta,PK_CAMK_PIM.txt,PK_CAMK_PIM.txt,PK_CAMK_PIM.fasta,PK_CAMK_PIM.fasta
PK,CAMK,PIM,,PIM1,PKA;PIM1,P11309,0,164,164,PK_CAMK_PIM__PIM1.png,PK_CAMK_PIM__PIM1.png,PK_CAMK_PIM__PIM1.png,PK_CAMK_PIM__PIM1.png,PK_CAMK_PIM__PIM1.aln,PK_CAMK_PIM__PIM1.fasta,PK_CAMK_PIM__PIM1.fasta,PK_CAMK_PIM__PIM1.txt,PK_CAMK_PIM__PIM1.txt,PK_CAMK_PIM__PIM1.fasta,PK_CAMK_PIM__PIM1.fasta
PK,CAMK,PIM,,PIM2,PKA;PIM2,Q9P1W9,0,65,65,PK_CAMK_PIM__PIM2.png,PK_CAMK_PIM__PIM2.png,PK_CAMK_PIM__PIM2.png,PK_CAMK_PIM__PIM2.png,PK_CAMK_PIM__PIM2.aln,PK_CAMK_PIM__PIM2.fasta,PK_CAMK_PIM__PIM2.fasta,PK_CAMK_PIM__PIM2.txt,PK_CAMK_PIM__PIM2.txt,PK_CAMK_PIM__PIM2.fasta,PK_CAMK_PIM__PIM2.fasta
PK,CAMK,PIM,,PIM3,PKA;PIM3,Q86V86,0,80,80,PK_CAMK_PIM__PIM3.png,PK_CAMK_PIM__PIM3.png,PK_CAMK_PIM__PIM3.png,PK_CAMK_PIM__PIM3.png,PK_CAMK_PIM__PIM3.aln,PK_CAMK_PIM__PIM3.fasta,PK_CAMK_PIM__PIM3.fasta,PK_CAMK_PIM__PIM3.txt,PK_CAMK_PIM__PIM3.txt,PK_CAMK_PIM__PIM3.fasta,PK_CAMK_PIM__PIM3.fasta
PK,CAMK,PKD,,,PKA;PRKD1;PRKD2;PRKD3,,,248,248,PK_CAMK_PKD.png,PK_CAMK_PKD.png,PK_CAMK_PKD.png,PK_CAMK_PKD.png,PK_CAMK_PKD.aln,PK_CAMK_PKD.fasta,PK_CAMK_PKD.fasta,PK_CAMK_PKD.txt,PK_CAMK_PKD.txt,PK_CAMK_PKD.fasta,PK_CAMK_PKD.fasta
PK,CAMK,PKD,,PRKD1 (PKD1),PKA;PRKD1,Q15139,0,113,113,PK_CAMK_PKD__PRKD1.png,PK_CAMK_PKD__PRKD1.png,PK_CAMK_PKD__PRKD1.png,PK_CAMK_PKD__PRKD1.png,PK_CAMK_PKD__PRKD1.aln,PK_CAMK_PKD__PRKD1.fasta,PK_CAMK_PKD__PRKD1.fasta,PK_CAMK_PKD__PRKD1.txt,PK_CAMK_PKD__PRKD1.txt,PK_CAMK_PKD__PRKD1.fasta,PK_CAMK_PKD__PRKD1.fasta
